video_id	url	title	channel	channel_url	upload_date	duration_s	availability	n_clips	status	title_source
vFqu6Qz7yHc	https://www.youtube.com/watch?v=vFqu6Qz7yHc	Immigrants in Ireland (interviews on streets of Dublin).	DublinChatOnlineTV	https://www.youtube.com/channel/UC--mUWkDlk-vGE5prwSnLeQ	20111207	410	public	23	available	youtube
tGH0_IqCm48	https://www.youtube.com/watch?v=tGH0_IqCm48	50 people, 1 question. Leeds. Christmas 2011.	jords420	https://www.youtube.com/channel/UC3sbQCgyaDfLjQCAFQni5zw	20120106	403	public	15	available	youtube
LX8X7KhIzLA	https://www.youtube.com/watch?v=LX8X7KhIzLA	Fifty People One Question Dun Laoghaire	Isolate Productions	https://www.youtube.com/channel/UCuROyNG0rPPFxK1AJbmEMtw	20120511	975	public	14	available	youtube
ByiEljmPY-Q	https://www.youtube.com/watch?v=ByiEljmPY-Q	Who Is Jesus? (Real Life Ministries)	Jeremiah Wilson	https://www.youtube.com/channel/UChJ-2m-xH0yLGHWSDt2r2aQ	20111011	521	public	11	available	youtube
lkMGKEzFqmo	https://www.youtube.com/watch?v=lkMGKEzFqmo	Fifty People One Question, Rome	Giada Sponzilli	https://www.youtube.com/channel/UCx0wehQiwgI5XF_zS8lvDCw	20130119	509	public	10	available	youtube
frjaQ17yAww	https://www.youtube.com/watch?v=frjaQ17yAww	Lie Witness News - SXSW Edition	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20140314	297	public	10	available	youtube
V1Ruag-8pZg	https://www.youtube.com/watch?v=V1Ruag-8pZg	lie witness one direction					unavailable	9	deleted	original_csv
Ks8yl_ag2Nc	https://www.youtube.com/watch?v=Ks8yl_ag2Nc	Fifty People, One Question: Norway	MultiGSTV	https://www.youtube.com/channel/UCDvyDza2CwU2TfApQ6s_o3w	20110606	443	public	9	available	youtube
S94CPkYrGQU	https://www.youtube.com/watch?v=S94CPkYrGQU	Fifty People, One Question - London	Souleyman Messalti	https://www.youtube.com/channel/UCck9GdrgU09qW-OQPhNpd5g	20140709	315	unlisted	8	available	youtube
TAbf8xPbkRc	https://www.youtube.com/watch?v=TAbf8xPbkRc	50 People, 1 Question:  What scared you?	Daily Nebraskan	https://www.youtube.com/channel/UCmKUGhvx8xXwhE-JkcIjCYg	20151030	210	public	8	available	youtube
VJAUGg4081Q	https://www.youtube.com/watch?v=VJAUGg4081Q	Fifty People, One Question: Brooklyn	Fifty People One Question	https://www.youtube.com/channel/UCfBtEqGKqgDWbSPjRhnEtRQ	20090130	348	public	8	available	youtube
GtmM3q9cotU	https://www.youtube.com/watch?v=GtmM3q9cotU	lie witness donald trump on dancing with the stars					unavailable	7	deleted	original_csv
xEl2JH6ruOw	https://www.youtube.com/watch?v=xEl2JH6ruOw	We love them! Ireland. Enjoy real Irish & Dublin accent. Grafton Street.	DublinChatOnlineTV	https://www.youtube.com/channel/UC--mUWkDlk-vGE5prwSnLeQ	20111206	283	public	7	available	youtube
lShxgdfwCOI	https://www.youtube.com/watch?v=lShxgdfwCOI	Men vs women. Nightlife. Enjoy real Irish accent. Dublin, Ireland, jokes, fun, laugh, pranks.	DublinChatOnlineTV	https://www.youtube.com/channel/UC--mUWkDlk-vGE5prwSnLeQ	20130413	1136	public	7	available	youtube
LkP2QLvMNPk	https://www.youtube.com/watch?v=LkP2QLvMNPk	Fifty People One Question: Cape Town, South Africa	LittleBig	https://www.youtube.com/channel/UC3tDimy62EocUTvSQ556zmQ	20120214	312	public	7	available	youtube
BPolswcX1Mg	https://www.youtube.com/watch?v=BPolswcX1Mg	lie witness oscars 2016					unavailable	6	deleted	original_csv
E_GAMGGb6P8	https://www.youtube.com/watch?v=E_GAMGGb6P8	lie witness hillary clinton's big announcement					unavailable	6	deleted	original_csv
HkUGSNNy4dI	https://www.youtube.com/watch?v=HkUGSNNy4dI	Kids Explain: What Is Love?	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20160212	206	public	6	available	youtube
lWAn1N4EbrE	https://www.youtube.com/watch?v=lWAn1N4EbrE	lie witness march madness					unavailable	6	deleted	original_csv
HRjWnxA-c84	https://www.youtube.com/watch?v=HRjWnxA-c84	Jokes over. Budget 2012, Ireland. Enjoy real Irish & Dublin accent.	DublinChatOnlineTV	https://www.youtube.com/channel/UC--mUWkDlk-vGE5prwSnLeQ	20111213	408	public	6	available	youtube
8WzyfYzNfbU	https://www.youtube.com/watch?v=8WzyfYzNfbU	What for girls wear mini-skirts? Dublin, Temple Bar, night-life, jokes, fun, laugh.	DublinChatOnlineTV	https://www.youtube.com/channel/UC--mUWkDlk-vGE5prwSnLeQ	20140604	1031	public	6	available	youtube
yHDyCZk5H-0	https://www.youtube.com/watch?v=yHDyCZk5H-0	Men vs women: who is more sexy. Asking quirky questions at night in Temple Bar, Dublin.	DublinChatOnlineTV	https://www.youtube.com/channel/UC--mUWkDlk-vGE5prwSnLeQ	20140707	743	public	6	available	youtube
DARmQb24kXs	https://www.youtube.com/watch?v=DARmQb24kXs	What if money was no object? - Fifty people one question	kaumgeschlafen	https://www.youtube.com/channel/UCTUhpVUp1QtyiD8XIdXQIYA	20130309	358	public	6	available	youtube
nNQbFi4OVA0	https://www.youtube.com/watch?v=nNQbFi4OVA0	is 20$ enough https://www.youtube.com/watch?v=nNQbFi4OVA0					unavailable	6	deleted	original_csv
vtezmaoDTK0	https://www.youtube.com/watch?v=vtezmaoDTK0	One Question - Henry Street - January 2012	neartvcommunity	https://www.youtube.com/channel/UCv8fQaeZfRDHEJEhteYJjqg	20120403	452	public	6	available	youtube
gjSQv5s9QF8	https://www.youtube.com/watch?v=gjSQv5s9QF8	lie witness donald trump's VP					unavailable	6	deleted	original_csv
iAhSQ2ueDFg	https://www.youtube.com/watch?v=iAhSQ2ueDFg	lie witness LA clippers					unavailable	6	deleted	original_csv
nFjSu8SZ7H0	https://www.youtube.com/watch?v=nFjSu8SZ7H0	Lie Witness News – Cleveland Cavaliers Edition	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20150615	172	unlisted	6	available	youtube
1U9n2Z68-A0	https://www.youtube.com/watch?v=1U9n2Z68-A0	lie witness 2015 in review					unavailable	5	deleted	original_csv
4GIS2Gg22ko	https://www.youtube.com/watch?v=4GIS2Gg22ko	Pedestrian Question - Have You Ever Punched Someone in the Face?	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20160413	255	public	5	available	youtube
IBC2zv9QDG8	https://www.youtube.com/watch?v=IBC2zv9QDG8	what are you thankful for					unavailable	5	deleted	original_csv
lIO4UgtcAm4	https://www.youtube.com/watch?v=lIO4UgtcAm4	Kids Explain: Adultery	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20150722	235	public	5	available	youtube
lm3PheF8kIo	https://www.youtube.com/watch?v=lm3PheF8kIo	jimmy kimmel questions people on pot					unavailable	5	deleted	original_csv
a2ZZc7iNygA	https://www.youtube.com/watch?v=a2ZZc7iNygA	lie witness donald trump					unavailable	5	deleted	original_csv
RN3iLeq1828	https://www.youtube.com/watch?v=RN3iLeq1828	World Without Teachers	Jubilee	https://www.youtube.com/channel/UCJjSDX-jUChzOEyok9XYRJQ	20150521	212	public	5	available	youtube
O3Qp9ukAyaU	https://www.youtube.com/watch?v=O3Qp9ukAyaU	قدرت در تهران - یک پرسش؛ پنجاه نگاه - فیلمی از علی مولوی	یک پرسش پنجاه نگاه	https://www.youtube.com/channel/UCj5kPFLMuJLCvCzQk9IfPhA	20140104	486	public	5	available	youtube
c_FuZn0o704	https://www.youtube.com/watch?v=c_FuZn0o704	Fifty People One Question | Fremantle | Australia | 2011	Christian Niddrie	https://www.youtube.com/channel/UCyL8GUfeDiD9aVCB4zK6ljg	20111116	721	public	5	available	youtube
u_37A8vbmK8	https://www.youtube.com/watch?v=u_37A8vbmK8	Irish humor. Enjoy real Irish & Dublin accent. Ирландский юмор. Изучаем разговорный английский.	DublinChatOnlineTV	https://www.youtube.com/channel/UC--mUWkDlk-vGE5prwSnLeQ	20111213	331	public	5	available	youtube
GnLiLZnnx3I	https://www.youtube.com/watch?v=GnLiLZnnx3I	Fifty People One Question - Bucharest (Romania)	Galvea Kelly	https://www.youtube.com/channel/UCYi7g-I-7Ph17nVWUKLpyvQ	20120612	312	public	5	available	youtube
kow8OoOCm6Y	https://www.youtube.com/watch?v=kow8OoOCm6Y	Fifty People, One Question | Short Film	Benjamin Reece	https://www.youtube.com/channel/UCH0LIRiNoRz9QcnSEThZqiQ	20080915	478	public	5	available	youtube
Ola6sYgfjD8	https://www.youtube.com/watch?v=Ola6sYgfjD8	Best Irish music. Live interview in Dublin, Ireland. Enjoy real Irish accent.	DublinChatOnlineTV	https://www.youtube.com/channel/UC--mUWkDlk-vGE5prwSnLeQ	20120102	234	public	5	available	youtube
_YQpbzQ6gzs	https://www.youtube.com/watch?v=_YQpbzQ6gzs	YouTube Challenge - I Told My Kids I Ate All Their Halloween Candy	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20111103	236	public	5	available	youtube
4fEfuJNZrEE	https://www.youtube.com/watch?v=4fEfuJNZrEE	Fifty People One Question - Ithaca	Json3	https://www.youtube.com/channel/UCQMXDhYSeNYee7InouuMCxA	20101005	326	public	5	available	youtube
5J8hF7iIetY	https://www.youtube.com/watch?v=5J8hF7iIetY	Jahreslosung 2014 - Fifty People One Question Köln Glück	Gott in Köln	https://www.youtube.com/channel/UC_Z962Jky-8jL00pTSur6AA	20131231	369	public	5	available	youtube
8zZGmH4trgo	https://www.youtube.com/watch?v=8zZGmH4trgo	People of Change :: PSA	People of Change	https://www.youtube.com/channel/UCi0plSGhk5TLNDqsrsWbfEw	20120419	176	public	5	available	youtube
nA61UWeGV0Q	https://www.youtube.com/watch?v=nA61UWeGV0Q	canadians on climate change https://www.youtube.com/watch?v=nA61UWeGV0Q					unavailable	5	deleted	original_csv
UWz6JsuLhNw	https://www.youtube.com/watch?v=UWz6JsuLhNw	fifty people one question - zurich switzerland	BRANDPICTURES	https://www.youtube.com/channel/UCAgPDIXMcQjYqUfQslkIK5g	20101220	405	public	5	available	youtube
yA6lT9Iwc4I	https://www.youtube.com/watch?v=yA6lT9Iwc4I	Fifty People One Question: Lisboa (Portugal)	IMFC86	https://www.youtube.com/channel/UCHQjCUH3bql6GxQIJpuJC7A	20120604	397	public	5	available	youtube
g8_mwyqbbXQ	https://www.youtube.com/watch?v=g8_mwyqbbXQ	LA vs New York - Kids Edition	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20151020	227	public	5	available	youtube
jiFDY6N33aw	https://www.youtube.com/watch?v=jiFDY6N33aw	Kids Explain Gay Marriage	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20150630	182	public	5	available	youtube
oZQYszUep4s	https://www.youtube.com/watch?v=oZQYszUep4s	LA SCUOLA INIZIA A DICEMBRE - La Reazione dei Genitori	The Jackal	https://www.youtube.com/channel/UCpB9uxBH-Hjoj_Jd9cnRC_w	20150908	239	unlisted	5	available	youtube
v9JQsXPd41U	https://www.youtube.com/watch?v=v9JQsXPd41U	What Do You Think of Apple’s New iTime Smart Watch?	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20140724	226	public	5	available	youtube
vytuHS8ZnRo	https://www.youtube.com/watch?v=vytuHS8ZnRo	lie witness donald trump at the debate					unavailable	5	deleted	original_csv
w4QYKlmkBUA	https://www.youtube.com/watch?v=w4QYKlmkBUA	pedestrians interpret designer's panda					unavailable	5	deleted	original_csv
w7YNaGN9-mE	https://www.youtube.com/watch?v=w7YNaGN9-mE	lie witness godzillla					unavailable	5	deleted	original_csv
zVRLHv4qEV4	https://www.youtube.com/watch?v=zVRLHv4qEV4	Lie Witness News - Oscars 2015 Edition	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20150223	217	public	5	available	youtube
7TL5QRcadM8	https://www.youtube.com/watch?v=7TL5QRcadM8	Pedestrian Question - How Many Times Have You Been Married?	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20150602	260	public	4	available	youtube
8vuRTBwgMSE	https://www.youtube.com/watch?v=8vuRTBwgMSE	Pedestrian Question - Is Your Facebook Profile Picture a Selfie?	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20131211	282	public	4	available	youtube
DtLRrnn7pZY	https://www.youtube.com/watch?v=DtLRrnn7pZY	Lie Witness News - MLK Day Edition	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20160119	186	public	4	available	youtube
EctkLeyz8Ks	https://www.youtube.com/watch?v=EctkLeyz8Ks	Lie Witness News - 4th of July Edition	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20150703	300	public	4	available	youtube
HxXbrnJ6l4A	https://www.youtube.com/watch?v=HxXbrnJ6l4A	First Look: iPhone 7	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20160909	279	public	4	available	youtube
IuJe2mk4Smo	https://www.youtube.com/watch?v=IuJe2mk4Smo	lie witness pope in LA					unavailable	4	deleted	original_csv
Nqm5hmBHzl8	https://www.youtube.com/watch?v=Nqm5hmBHzl8	lie witness hillary clinton debate					unavailable	4	deleted	original_csv
PlPZ-npnGEk	https://www.youtube.com/watch?v=PlPZ-npnGEk	What's the Most Impressive Thing You've Ever Done?	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20151006	237	public	4	available	youtube
USIPTs4SKzU	https://www.youtube.com/watch?v=USIPTs4SKzU	lie witness new york primary					unavailable	4	deleted	original_csv
WJhELv4Ayt4	https://www.youtube.com/watch?v=WJhELv4Ayt4	Pedestrian Question - Do You Have a Medical Marijuana Card?	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20160419	315	public	4	available	youtube
ajt2OIKUoh4	https://www.youtube.com/watch?v=ajt2OIKUoh4	lie witness state of the union					unavailable	4	deleted	original_csv
bC4LoSm5ZhE	https://www.youtube.com/watch?v=bC4LoSm5ZhE	lie witness kim jong un dancing with the stars					unavailable	4	deleted	original_csv
7u9Uy6HNSZ8	https://www.youtube.com/watch?v=7u9Uy6HNSZ8	People of Change :: Cidadão Pró-Mundo	People of Change	https://www.youtube.com/channel/UCi0plSGhk5TLNDqsrsWbfEw	20130509	582	public	4	available	youtube
YWbYuZW8L48	https://www.youtube.com/watch?v=YWbYuZW8L48	FIFTY PEOPLE ONE QUESTION - HOW TO BE IRISH? - short film by Kamil Krolak 2013	KamilFilms	https://www.youtube.com/channel/UCQdtWbJsLVv9BAqvuBYPCMA	20130316	370	public	4	available	youtube
9h5mwoTwDBk	https://www.youtube.com/watch?v=9h5mwoTwDBk	babies eating lemons for the first time https://www.youtube.com/watch?v=9h5mwoTwDBk					unavailable	4	deleted	original_csv
fAu-Cp5mpj8	https://www.youtube.com/watch?v=fAu-Cp5mpj8	50 People, 1 Question: Jerusalem	trocaire	https://www.youtube.com/channel/UCIMaX8mQnSvpMcwBkLT--XA	20110907	381	public	4	available	youtube
BmIENNOFovI	https://www.youtube.com/watch?v=BmIENNOFovI	Fifty People One Question - United Arab Emirates	Samara Pictures	https://www.youtube.com/channel/UCntEyEiCNf6qYx0qGPF8UDw	20110622	618	public	4	available	youtube
IXgvwgoUt_Y	https://www.youtube.com/watch?v=IXgvwgoUt_Y	Irish food: who loves Irish stew  (+ real Irish & Dublin accent).	DublinChatOnlineTV	https://www.youtube.com/channel/UC--mUWkDlk-vGE5prwSnLeQ	20111213	327	public	4	available	youtube
LP7pdAn3foE	https://www.youtube.com/watch?v=LP7pdAn3foE	FIFTY PEOPLE ONE QUESTION - GALWAY, IRELAND 2011 by Kamil Krolak	KamilFilms	https://www.youtube.com/channel/UCQdtWbJsLVv9BAqvuBYPCMA	20110514	673	public	4	available	youtube
lFH3-4Atq4I	https://www.youtube.com/watch?v=lFH3-4Atq4I	50 people 1 question Paris	StillsInMotionMalmo	https://www.youtube.com/channel/UCNBCLU6VAtoevOJfN1RpOcQ	20130313	780	public	4	available	youtube
7TkteKQhXz0	https://www.youtube.com/watch?v=7TkteKQhXz0	World Without Black People	Jubilee	https://www.youtube.com/channel/UCJjSDX-jUChzOEyok9XYRJQ	20150119	340	public	4	available	youtube
KC6WA8MpUWQ	https://www.youtube.com/watch?v=KC6WA8MpUWQ	Fifty People, One Question: Rockefeller Center 2012	Chek Wingo	https://www.youtube.com/channel/UClH8fynHiAQR27Yyt3Ah3rQ	20120302	435	unlisted	4	available	youtube
kzfqXWFAweY	https://www.youtube.com/watch?v=kzfqXWFAweY	"""Do you Believe in Psychics?"" Street Interviews"	Odd Planet	https://www.youtube.com/channel/UCjvh2Nv7jazHjZF9BjHqSbw	20140605	578	public	4	available	youtube
pcbGr7NynSo	https://www.youtube.com/watch?v=pcbGr7NynSo	Did you go to college https://www.youtube.com/watch?v=pcbGr7NynSo					unavailable	4	deleted	original_csv
YMLOJHs7SfI	https://www.youtube.com/watch?v=YMLOJHs7SfI	50 People, 1 Question:  What is your dream?	Daily Nebraskan	https://www.youtube.com/channel/UCmKUGhvx8xXwhE-JkcIjCYg	20151012	205	public	4	available	youtube
fmX04EztiTE	https://www.youtube.com/watch?v=fmX04EztiTE	Pot Quiz	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20141001	211	public	4	available	youtube
jAiis_UbzKw	https://www.youtube.com/watch?v=jAiis_UbzKw	lie witness pluto					unavailable	4	deleted	original_csv
jka3nb9CGV8	https://www.youtube.com/watch?v=jka3nb9CGV8	super tuesday					unavailable	4	deleted	original_csv
phmu0xneeQE	https://www.youtube.com/watch?v=phmu0xneeQE	Pedestrians Answer Miss America Questions	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20150915	352	public	4	available	youtube
tNBpJN3Tmzw	https://www.youtube.com/watch?v=tNBpJN3Tmzw	lie witness earthquake					unavailable	4	deleted	original_csv
33D3NOl0-ag	https://www.youtube.com/watch?v=33D3NOl0-ag	Congratulations North Korea!	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20160107	107	public	3	available	youtube
33IFuF2HAss	https://www.youtube.com/watch?v=33IFuF2HAss	Pedestrian Question - Are You A Vegetarian?	Jimmy Kimmel Live	https://www.youtube.com/channel/UCa6vGFO9ty8v5KZJXQxdhaw	20141022	304	public	3	available	youtube
